"Date","Open","low","close","high"
"Date","Open","High","Low",""
"Dec 2016","18676.75","17606.90","18177.20","18739.65"
"Nov 2016","19578.60","18143.70","18627.80","20309.65"
"Oct 2016","19395.55","18824.40","19523.55","19922.70"
"Sep 2016","19805.80","19059.05","19285.70","20575.80"
"Aug 2016","18896.50","18443.65","19787.60","19823.40"
"July 2016","18019.70","17910.90","18953.15","19158.00"
"June 2016","17670.85","16946.35","17935.40","18051.50"
"May 2016","16614.00","16186.25","17620.90","17666.05"
"Apr 2016","16099.65","15440.25","16795.00","17029.85"
"Mar 2016","14064.80","14064.80","16141.65","16282.75"
"Feb 2016","15547.75","13407.25","13946.40","15565.50"
"Jan 2016","16932.50","14754.65","15522.40","17067.45"
"Dec 2015","17456.75","16188.05","16922.20","17495.45"
"Nov 2015","17351.45","16587.25","17430.40","17498.35"
"Oct 2015","17362.95","17111.65","17354.50","18029.05"
"Sep 2015","16983.80","15762.20","17216.30","17652.35"
"Aug 2015","18782.65","16670.55","17146.55","19103.70"
"July 2015","18275.60","18174.20","18729.85","19229.05"
"June 2015","18721.15","17174.70","18296.10","18832.50"
"May 2015","18417.50","17246.55","18721.35","18755.45"
"Apr 2015","18204.55","17738.90","18338.10","19038.50"
"Mar 2015","19954.50","17719.35","18206.65","20541.65"
"Feb 2015","19778.95","18226.90","19691.20","19991.40"
"Jan 2015","18728.20","18211.50","19843.75","20907.55"
"Dec 2014","18586.95","17502.45","18736.65","18923.60"
"Nov 2014","17087.00","16934.85","18513.15","18615.40"
"Oct 2014","15370.70","15130.35","17045.05","17060.15"
"Sep 2014","15790.25","15168.40","15392.25","16309.70"
"Aug 2014","15137.60","14709.10","15740.40","15973.35"
"July 2014","15288.80","14338.65","15267.60","15626.90"
"June 2014","14786.45","14770.00","15241.90","15725.80"
"May 2014","12920.35","12773.05","14793.40","15742.05"
"Apr 2014","12806.15","12430.85","12855.85","13268.60"
"Mar 2014","10705.45","10613.00","12742.05","12869.35"
"Feb 2014","10205.45","9944.00","10764.70","10793.60"
"Jan 2014","11418.90","10101.20","10237.75","11578.90"
"Dec 2013","11180.30","11040.15","11385.25","12225.95"
"Nov 2013","11472.20","10412.05","11153.95","11736.20"
"Oct 2013","9685.15","9582.75","11473.15","11512.50"
"Sep 2013","9112.80","8605.65","9617.80","11219.45"
"Aug 2013","10130.10","8366.75","9049.20","10219.60"
"July 2013","11597.45","9863.05","10015.75","11811.90"
"June 2013","12453.40","11033.75","11617.25","12520.55"
"May 2013","12554.70","12188.30","12475.65","13414.30"
"Apr 2013","11414.95","10888.75","12561.55","12755.80"
"Mar 2013","11533.05","11048.40","11361.85","12241.30"
"Feb 2013","12718.55","11401.20","11487.35","12743.20"
"Jan 2013","12549.95","12509.45","12708.60","12960.65"
"Dec 2012","12126.60","12053.45","12474.25","12571.60"
"Nov 2012","11266.50","11230.20","12158.90","12175.30"
"Oct 2012","11462.10","10043.60","11268.80","11745.20"
"Sep 2012","10030.85","9814.05","11456.80","11536.85"
"Aug 2012","10347.80","9948.70","9990.50","10640.75"
"July 2012","10366.50","10056.15","10384.10","10782.55"
"June 2012","9434.45","9110.45","10340.65","10360.00"
"May 2012","10282.70","8995.25","9441.00","10382.35"
"Apr 2012","10186.80","10029.45","10276.80","10645.85"
"Mar 2012","10385.15","9845.40","10212.75","10912.05"
"Feb 2012","9941.90","9762.00","10414.20","11226.75"
"Jan 2012","8009.85","7888.25","9919.45","9969.25"
"Dec 2011","8872.80","7766.35","7968.65","9273.10"
"Nov 2011","9898.40","8240.45","8564.10","9984.35"
"Oct 2011","9332.60","8626.45","9989.65","10080.05"
"Sep 2011","9707.45","9165.80","9468.30","9972.00"
"Aug 2011","11014.15","8917.95","9533.40","11064.90"
"July 2011","11359.95","10758.40","10893.65","11451.25"
"June 2011","11011.20","10340.40","11244.65","11271.35"
"May 2011","11509.30","10339.95","11020.85","11543.35"
"Apr 2011","11713.05","11406.85","11483.75","11978.05"
"Mar 2011","10541.95","10528.35","11705.45","11898.40"
"Feb 2011","10683.45","10017.85","10435.35","11300.45"
"Jan 2011","11882.10","10373.80","10641.85","11912.15"
"Dec 2010","11987.70","10977.90","11791.45","12535.85"
"Nov 2010","12485.50","11362.90","11952.60","13303.60"
"Oct 2010","12390.90","11955.55","12330.75","12827.35"
"Sep 2010","10761.65","10761.65","12366.35","12410.60"
"Aug 2010","10258.35","10255.40","10746.35","11126.95"
"July 2010","9403.95","9303.05","10161.00","10243.90"
"June 2010","9331.85","9083.65","9464.60","9793.15"
"May 2010","9809.40","8806.65","9363.70","9863.45"
"Apr 2010","9464.15","9206.00","9870.35","9923.15"
"Mar 2010","8826.90","8826.90","9459.60","9587.65"
"Feb 2010","8597.45","8150.45","8722.75","8851.35"
"Jan 2010","9031.90","8294.60","8651.55","9265.55"
"Dec 2009","9056.05","8560.15","9029.50","9435.90"
"Nov 2009","8372.10","8207.75","9046.95","9355.40"
"Oct 2009","8835.30","8370.15","8438.60","9630.35"
"Sep 2009","7459.60","7292.70","8812.35","8832.25"
"Aug 2009","7564.05","6988.55","7431.65","7720.35"
"July 2009","7325.10","6393.50","7544.50","7711.40"
"June 2009","7559.30","6909.50","7338.85","7626.95"
"May 2009","5291.25","5291.25","7416.00","7567.90"
"Apr 2009","4153.55","4023.45","5130.95","5288.70"
"Mar 2009","3831.25","3314.55","4133.20","4423.65"
"Feb 2009","4403.90","3758.40","3892.40","4602.15"
"Jan 2009","5019.20","4049.90","4456.55","5448.80"
"Dec 2008","4317.80","3919.00","5001.55","5226.85"
"Nov 2008","4791.80","3972.15","4291.15","5431.90"
"Oct 2008","5875.55","3799.35","4521.70","6040.15"
"Sep 2008","6070.90","5296.60","5803.55","6631.95"
"Aug 2008","5655.35","5546.90","6102.05","6754.45"
"July 2008","5042.10","4633.95","5730.05","6468.40"
"June 2008","6577.30","4996.85","5027.05","6677.15"
"May 2008","7774.10","6502.45","6584.35","7990.45"
"Apr 2008","6706.70","6446.70","7629.00","7815.90"
"Mar 2008","8460.60","6335.00","6655.00","8460.60"
"Feb 2008","9320.25","8216.90","8688.35","9708.60"
"Jan 2008","9819.50","7958.95","9226.25","10774.15"
"Dec 2007","9391.20","9125.45","9863.45","10124.75"
"Nov 2007","9220.40","8429.35","9375.75","9692.50"
"Oct 2007","8008.55","7279.30","9013.15","9237.80"
"Sep 2007","6712.60","6673.75","8042.20","8082.85"
"Aug 2007","6903.85","6058.35","6675.85","7110.55"
"July 2007","6811.85","6608.10","6928.45","7209.20"
"June 2007","6340.90","6048.80","6740.10","6749.95"
"May 2007","5656.25","5480.50","6324.50","6445.40"
