"Date","Open","low","close","high_to_low","open_to_close","high"
"Date","Open","High","Low","Close","",""
"(High-Low)","","","","","(Open-Close)",""
"2021-11-12","38707.15","38467.80","38733.35","355.05","-26.20","38822.85"
"2021-11-11","38913.05","38346.05","38560.20","583.90","352.85","38929.95"
"2021-11-10","39206.20","38873.80","39023.25","346.50","182.95","39220.30"
"2021-11-09","39517.85","39223.40","39368.80","337.20","149.05","39560.60"
"2021-11-08","39674.05","38932.15","39438.25","741.90","235.80","39674.05"
"2021-11-04","39669.10","39514.15","39573.70","220.55","95.40","39734.70"
"2021-11-03","40040.65","39304.85","39402.05","855.35","638.60","40160.20"
"2021-11-02","39796.90","39590.70","39938.45","516.90","-141.55","40107.60"
"2021-11-01","39432.15","39120.65","39763.75","741.95","-331.60","39862.60"
"2021-10-29","39424.55","38426.65","39115.60","1,348.60","308.95","39775.25"
"2021-10-28","40915.15","39350.20","39508.95","1,580.85","1,406.20","40931.05"
"2021-10-27","41234.55","40750.00","40874.35","597.00","360.20","41347.00"
"2021-10-26","41057.75","40829.15","41238.30","538.10","-180.55","41367.25"
"2021-10-25","40961.25","40508.10","41192.40","1,321.50","-231.15","41829.60"
"2021-10-22","40192.65","40149.55","40323.65","437.80","-131.00","40587.35"
"2021-10-21","39676.55","39428.10","40030.20","772.35","-353.65","40200.45"
"2021-10-20","39545.45","39292.80","39518.20","481.75","27.25","39774.55"
"2021-10-19","39927.30","39394.25","39540.50","616.90","386.80","40011.15"
"2021-10-18","39794.25","39569.55","39684.80","378.05","109.45","39947.60"
"2021-10-14","38684.65","38673.00","39340.90","702.05","-656.25","39375.05"
"2021-10-13","38735.30","38502.70","38635.75","276.35","99.55","38779.05"
"2021-10-12","38178.35","38144.60","38521.50","465.00","-343.15","38609.60"
"2021-10-11","37782.75","37744.65","38293.80","750.65","-511.05","38495.30"
"2021-10-08","37906.40","37674.35","37775.25","430.85","131.15","38105.20"
"2021-10-07","37894.00","37650.25","37753.20","273.40","140.80","37923.65"
"2021-10-06","37768.80","37452.00","37521.55","654.85","247.25","38106.85"
"2021-10-05","37499.80","37364.75","37741.00","421.85","-241.20","37786.60"
"2021-10-04","37392.15","37355.60","37579.65","315.10","-187.50","37670.70"
"2021-10-01","37140.40","36876.35","37225.90","423.05","-85.50","37299.40"
"2021-09-30","37677.80","37354.25","37425.10","530.60","252.70","37884.85"
"2021-09-29","37601.10","37371.05","37743.00","552.40","-141.90","37923.45"
"2021-09-28","38360.00","37315.20","37945.00","1,062.05","415.00","38377.25"
"2021-09-27","38054.75","37968.20","38171.25","387.00","-116.50","38355.20"
"2021-09-24","37954.00","37680.00","37830.30","432.60","123.70","38112.60"
"2021-09-23","37241.25","37216.15","37771.70","614.60","-530.45","37830.75"
"2021-09-22","37277.10","36885.60","36944.65","443.00","332.45","37328.60"
"2021-09-21","37238.40","36525.95","37235.85","814.75","2.55","37340.70"
"2021-09-20","37388.20","37068.45","37145.70","734.30","242.50","37802.75"
"2021-09-17","37929.50","37396.05","37811.95","716.70","117.55","38112.75"
"2021-09-16","36946.00","36907.75","37668.60","812.40","-722.60","37720.15"
"2021-09-15","36543.55","36496.05","36852.25","453.65","-308.70","36949.70"
"2021-09-14","36639.95","36529.65","36613.05","226.35","26.90","36756.00"
"2021-09-13","36608.45","36327.05","36471.80","397.80","136.65","36724.85"
"2021-09-09","36725.50","36566.70","36683.20","290.50","42.30","36857.20"
"2021-09-08","36519.70","36393.60","36768.20","462.30","-248.50","36855.90"
"2021-09-07","36558.85","36151.95","36468.80","533.90","90.05","36685.85"
"2021-09-06","36878.25","36554.45","36592.35","369.20","285.90","36923.65"
"2021-09-03","36883.65","36563.20","36761.15","576.80","122.50","37140.00"
"2021-09-02","36588.40","36469.00","36831.30","426.55","-242.90","36895.55"
"2021-09-01","36591.45","36487.15","36574.30","510.55","17.15","36997.70"
"2021-08-31","36367.40","36216.20","36424.60","336.60","-57.20","36552.80"
"2021-08-30","35781.05","35721.90","36347.65","676.55","-566.60","36398.45"
"2021-08-27","35559.75","35359.25","35627.80","368.65","-68.05","35727.90"
"2021-08-26","35485.95","35411.80","35617.55","374.00","-131.60","35785.80"
"2021-08-25","35768.85","35499.65","35586.25","410.65","182.60","35910.30"
"2021-08-24","35200.75","35070.00","35712.10","725.30","-511.35","35795.30"
"2021-08-23","35424.20","34817.50","35124.40","609.90","299.80","35427.40"
"2021-08-20","35146.50","34926.50","35033.85","380.00","112.65","35306.50"
"2021-08-18","36222.50","35432.00","35554.50","816.90","668.00","36248.90"
"2021-08-17","35935.05","35611.85","35867.45","381.85","67.60","35993.70"
"2021-08-16","36100.65","36032.40","36094.50","229.15","6.15","36261.55"
"2021-08-13","36000.75","35937.10","36169.35","296.20","-168.60","36233.30"
"2021-08-12","35825.40","35702.90","35937.05","295.25","-111.65","35998.15"
"2021-08-11","36218.25","35531.35","35806.40","696.20","411.85","36227.55"
"2021-08-10","35954.55","35890.50","36034.10","426.50","-79.55","36317.00"
"2021-08-09","35824.20","35612.30","36028.95","547.55","-204.75","36159.85"
"2021-08-06","35875.80","35700.45","35809.25","379.65","66.55","36080.10"
"2021-08-05","36093.95","35661.30","35834.75","454.15","259.20","36115.45"
"2021-08-04","35388.15","35313.00","36028.05","906.80","-639.90","36219.80"
"2021-08-03","34660.75","34649.20","35207.45","589.25","-546.70","35238.45"
"2021-08-02","34760.90","34588.25","34710.00","273.50","50.90","34861.75"
"2021-07-30","34698.75","34445.40","34584.35","293.35","114.40","34738.75"
"2021-07-29","34740.30","34495.20","34691.50","282.95","48.80","34778.15"
"2021-07-28","34839.45","34115.20","34532.90","726.35","306.55","34841.55"
"2021-07-27","35029.30","34713.55","34797.45","472.55","231.85","35186.10"
"2021-07-26","34947.85","34669.55","34949.70","468.65","-1.85","35138.20"
"2021-07-23","34748.35","34404.75","35034.40","683.25","-286.05","35088.00"
"2021-07-22","34774.55","34557.85","34677.30","431.25","97.25","34989.10"
"2021-07-20","34791.15","34357.35","34415.45","536.80","375.70","34894.15"
"2021-07-19","35070.50","34899.20","35079.20","447.85","-8.70","35347.05"
"2021-07-16","35977.95","35674.75","35751.80","303.20","226.15","35977.95"
"2021-07-15","35757.45","35625.70","35907.65","359.55","-150.20","35985.25"
"2021-07-14","35585.85","35434.75","35668.25","369.30","-82.40","35804.05"
"2021-07-13","35480.05","35340.70","35673.40","387.15","-193.35","35727.85"
"2021-07-12","35285.05","35060.35","35198.90","333.95","86.15","35394.30"
"2021-07-09","35163.75","34859.90","35071.95","365.30","91.80","35225.20"
"2021-07-08","35603.25","35134.65","35274.10","676.35","329.15","35811.00"
"2021-07-07","35550.60","35427.65","35771.30","368.10","-220.70","35795.75"
"2021-07-06","35173.60","35165.55","35579.15","641.90","-405.55","35807.45"
